Account Number,Date,Description,Amount
500015,01/12/2017,Sales and Marketing,346
500015,01/10/2017,Finances,321
500015,01/04/2017,Asset Management,83
500015,01/09/2017,Public Relations,594
500015,01/07/2018,Quality Assurance,417
500015,01/04/2018,Human Resources,50
500015,01/07/2017,Customer Relations,405
500015,01/05/2018,Payroll,401
500015,01/06/2017,Media Relations,633
500015,01/08/2017,Asset Management,52
500015,01/12/2017,Sales and Marketing,427
500015,01/05/2018,Media Relations,305
500015,01/01/2018,Accounting,602
500015,01/01/2017,Customer Relations,529
500015,01/04/2018,Media Relations,612
500015,01/05/2017,Advertising,685
500015,01/08/2017,Advertising,922
500015,01/01/2018,Media Relations,736
500015,01/02/2018,Asset Management,764
500015,01/03/2017,Human Resources,991
500015,01/12/2017,Sales and Marketing,130
500015,01/12/2017,Advertising,939
500015,01/08/2017,Advertising,164
500015,01/10/2017,Advertising,843
500015,01/05/2017,Legal Department,809
500015,01/07/2018,Human Resources,961
500015,01/05/2018,Public Relations,477
500015,01/12/2017,Public Relations,356
500015,01/11/2017,Sales and Marketing,860
500015,01/04/2017,Asset Management,300
500015,01/05/2018,Media Relations,381
500015,01/06/2018,Legal Department,250
500015,01/12/2017,Asset Management,500
500015,01/06/2017,Media Relations,254
500015,01/01/2017,Human Resources,358
500015,01/04/2018,Sales and Marketing,402
500015,01/05/2018,Research and Development,965
500015,01/02/2017,Media Relations,701
500015,01/06/2017,Tech Support,647
500015,01/05/2017,Asset Management,987
500015,01/06/2017,Public Relations,132
500015,01/01/2017,Sales and Marketing,150
500015,02/04/2018,Legal Department,48
500015,02/01/2018,Asset Management,53
500015,02/05/2017,Human Resources,352
500015,02/07/2017,Tech Support,466
500015,02/12/2017,Legal Department,176
500015,02/04/2018,Asset Management,265
500015,02/04/2018,Customer Relations,486
500015,02/06/2018,Tech Support,304
500015,02/07/2018,Customer Relations,348
500015,02/06/2018,Finances,741
500015,02/03/2018,Media Relations,590
500015,02/08/2017,Research and Development,704
500015,02/03/2018,Media Relations,270
500015,02/01/2018,Human Resources,10
500015,02/03/2018,Human Resources,584
500015,02/04/2017,Media Relations,827
500015,02/05/2017,Customer Service,164
500015,02/02/2017,Customer Relations,396
500015,02/10/2017,Legal Department,136
500015,02/04/2017,Research and Development,109
500015,02/04/2017,Quality Assurance,465
500015,02/10/2017,Customer Service,287
500015,02/05/2018,Accounting,387
500015,02/08/2017,Human Resources,605
500015,03/08/2017,Finances,112
500015,03/03/2017,Sales and Marketing,334
500015,03/02/2017,Customer Service,929
500015,03/07/2018,Quality Assurance,577
500015,03/03/2018,Tech Support,151
500015,03/02/2018,Media Relations,75
500015,03/07/2018,Payroll,318
500015,03/01/2018,Customer Relations,167
500015,03/09/2017,Finances,486
500015,03/07/2018,Sales and Marketing,27
500015,03/01/2018,Human Resources,791
500015,03/01/2018,Sales and Marketing,585
500015,03/06/2017,Legal Department,229
500015,03/02/2017,Advertising,493
500015,03/03/2018,Media Relations,863
500015,03/02/2017,Customer Relations,919
500015,03/03/2018,Sales and Marketing,666
500015,03/08/2017,Quality Assurance,872
500015,03/06/2017,Media Relations,320
500015,03/12/2017,Tech Support,304
500015,03/08/2017,Media Relations,432
500015,03/03/2017,Accounting,733
500015,03/02/2018,Legal Department,276
500015,03/02/2018,Customer Relations,265
500015,03/01/2017,Tech Support,816
500015,03/01/2017,Legal Department,767
500015,03/08/2017,Customer Relations,610
500015,03/06/2017,Legal Department,717
500015,03/03/2017,Asset Management,451
500015,03/09/2017,Human Resources,85
500015,03/12/2017,Accounting,997
500015,03/04/2018,Payroll,138
500015,03/03/2018,Tech Support,223
500015,03/12/2017,Payroll,906
500015,03/03/2017,Finances,470
500015,03/11/2017,Finances,600
500015,03/01/2018,Customer Service,67
500015,03/04/2017,Sales and Marketing,547
500015,04/04/2017,Asset Management,139
500015,04/03/2017,Human Resources,803
500015,04/01/2017,Legal Department,325
500015,04/11/2017,Public Relations,765
500015,04/06/2018,Quality Assurance,134
500015,04/05/2017,Research and Development,473
500015,04/03/2018,Advertising,73
500015,04/09/2017,Human Resources,714
500015,04/06/2017,Tech Support,99
500015,04/05/2017,Customer Service,249
500015,04/04/2018,Customer Service,372
500015,04/07/2018,Customer Service,883
500015,04/06/2018,Human Resources,644
500015,04/09/2017,Human Resources,817
500015,04/01/2018,Sales and Marketing,358
500015,04/01/2018,Advertising,354
500015,04/03/2018,Media Relations,908
500015,04/01/2017,Finances,451
500015,04/02/2017,Asset Management,566
500015,04/02/2017,Advertising,89
500015,04/03/2018,Accounting,335
500015,04/02/2017,Finances,175
500015,04/04/2017,Legal Department,528
500015,04/04/2017,Accounting,557
500015,04/08/2017,Public Relations,700
500015,04/12/2017,Customer Service,824
500015,04/09/2017,Media Relations,956
500015,04/04/2017,Customer Relations,823
500015,04/08/2017,Accounting,810
500015,04/02/2018,Quality Assurance,592
500015,04/02/2018,Sales and Marketing,611
500015,05/03/2018,Research and Development,526
500015,05/05/2018,Customer Service,742
500015,05/03/2018,Asset Management,258
500015,05/03/2018,Sales and Marketing,207
500015,05/06/2017,Customer Relations,278
500015,05/10/2017,Research and Development,433
500015,05/03/2018,Public Relations,450
500015,05/04/2017,Asset Management,906
500015,05/05/2018,Customer Service,418
500015,05/07/2017,Asset Management,323
500015,05/05/2018,Public Relations,393
500015,05/11/2017,Tech Support,781
500015,05/09/2017,Advertising,371
500015,05/09/2017,Payroll,317
500015,05/03/2017,Advertising,59
500015,05/02/2017,Public Relations,34
500015,05/12/2017,Payroll,1000
500015,05/12/2017,Customer Relations,950
500015,05/05/2017,Customer Service,819
500015,05/04/2018,Accounting,191
500015,05/05/2017,Quality Assurance,60
500015,05/07/2017,Customer Service,20
500015,05/03/2018,Legal Department,231
500015,05/02/2017,Customer Relations,283
500015,05/04/2017,Customer Relations,540
500015,05/04/2018,Media Relations,318
500015,05/07/2017,Asset Management,698
500015,05/10/2017,Accounting,460
500015,05/04/2018,Finances,872
500015,05/03/2018,Human Resources,518
500015,05/06/2018,Advertising,677
500015,05/10/2017,Finances,365
500015,05/04/2018,Tech Support,779
500015,05/02/2018,Accounting,733
500015,05/03/2017,Public Relations,884
500015,05/01/2018,Quality Assurance,49
500015,05/01/2017,Sales and Marketing,2
500015,05/12/2017,Research and Development,970
500015,05/03/2017,Quality Assurance,167
500015,05/03/2018,Quality Assurance,844
500015,05/05/2017,Human Resources,972
500015,05/05/2018,Human Resources,846
500015,05/07/2017,Media Relations,238
500015,05/01/2017,Quality Assurance,567
500015,05/03/2018,Research and Development,468
500015,06/01/2017,Human Resources,637
500015,06/09/2017,Legal Department,804
500015,06/01/2017,Accounting,591
500015,06/03/2018,Advertising,265
500015,06/01/2017,Tech Support,636
500015,06/02/2017,Legal Department,263
500015,06/03/2017,Finances,215
500015,06/07/2017,Customer Service,531
500015,06/04/2017,Accounting,495
500015,06/10/2017,Asset Management,839
500015,06/03/2018,Advertising,425
500015,06/08/2017,Sales and Marketing,515
500015,06/03/2018,Legal Department,592
500015,06/11/2017,Public Relations,750
500015,06/05/2017,Research and Development,205
500015,06/11/2017,Advertising,394
500015,06/04/2017,Asset Management,669
500015,06/08/2017,Payroll,235
500015,06/12/2017,Research and Development,811
500015,06/06/2017,Human Resources,815
500015,06/02/2017,Advertising,189
500015,06/07/2017,Tech Support,458
500015,06/04/2017,Payroll,580
500015,06/11/2017,Media Relations,519
500015,06/01/2018,Finances,42
500015,06/09/2017,Legal Department,228
500015,06/11/2017,Customer Service,420
500015,06/01/2017,Sales and Marketing,278
500015,06/04/2018,Sales and Marketing,81
500015,06/03/2018,Research and Development,607
500015,06/09/2017,Human Resources,752
500015,06/07/2018,Payroll,124
500015,06/04/2018,Customer Relations,197
500015,06/04/2017,Finances,104
500015,06/02/2017,Payroll,63
500015,06/07/2018,Legal Department,404
500015,06/07/2018,Asset Management,48
500015,07/02/2018,Legal Department,55
500015,07/06/2017,Finances,901
500015,07/03/2017,Accounting,380
500015,07/10/2017,Public Relations,422
500015,07/10/2017,Legal Department,953
500015,07/04/2018,Quality Assurance,300
500015,07/01/2017,Asset Management,644
500015,07/09/2017,Asset Management,259
500015,07/05/2017,Customer Relations,562
500015,07/08/2017,Public Relations,83
500015,07/10/2017,Legal Department,378
500015,07/09/2017,Media Relations,480
500015,07/03/2017,Customer Service,199
500015,07/06/2018,Sales and Marketing,976
500015,07/10/2017,Customer Relations,372
500015,07/06/2017,Payroll,628
500015,07/05/2017,Asset Management,957
500015,07/06/2018,Tech Support,638
500015,07/05/2018,Human Resources,658
500015,07/02/2018,Advertising,886
500015,07/12/2017,Finances,208
500015,07/04/2017,Legal Department,234
500015,07/02/2017,Tech Support,400
500015,07/09/2017,Legal Department,882
500015,07/09/2017,Tech Support,485
500015,08/03/2018,Media Relations,48
500015,08/02/2018,Accounting,147
500015,08/09/2017,Quality Assurance,991
500015,08/11/2017,Accounting,140
500015,08/09/2017,Public Relations,308
500015,08/05/2017,Finances,868
500015,08/05/2017,Advertising,93
500015,08/06/2017,Sales and Marketing,892
500015,08/04/2017,Asset Management,788
500015,08/11/2017,Media Relations,112
500015,08/03/2018,Research and Development,553
500015,08/08/2017,Legal Department,10
500015,08/06/2018,Asset Management,495
500015,08/12/2017,Finances,836
500015,08/03/2018,Advertising,733
500015,08/08/2017,Public Relations,845
500015,08/12/2017,Payroll,980
500015,08/06/2018,Tech Support,247
500015,08/05/2018,Quality Assurance,574
500015,08/05/2017,Payroll,66
500015,08/01/2017,Sales and Marketing,602
500015,08/05/2017,Human Resources,815
500015,08/12/2017,Media Relations,910
500015,08/11/2017,Legal Department,643
500015,09/02/2017,Asset Management,275
500015,09/02/2018,Finances,42
500015,09/02/2018,Finances,511
500015,09/02/2017,Legal Department,730
500015,09/02/2017,Payroll,435
500015,09/02/2018,Asset Management,468
500015,09/01/2017,Customer Relations,908
500015,09/01/2018,Legal Department,932
500015,09/01/2018,Accounting,675
500015,09/04/2017,Quality Assurance,520
500015,09/09/2017,Finances,229
500015,09/06/2017,Payroll,409
500015,09/06/2017,Customer Relations,760
500015,09/06/2017,Legal Department,135
500015,09/02/2017,Customer Relations,730
500015,09/12/2017,Research and Development,402
500015,09/06/2017,Tech Support,213
500015,09/07/2018,Tech Support,400
500015,09/12/2017,Advertising,539
500015,09/08/2017,Accounting,75
500015,09/10/2017,Advertising,748
500015,09/12/2017,Legal Department,312
500015,09/03/2018,Asset Management,366
500015,09/04/2018,Customer Relations,275
500015,09/03/2018,Media Relations,12
500015,09/04/2018,Customer Relations,385
500015,09/05/2018,Customer Service,78
500015,10/07/2017,Asset Management,701
500015,10/05/2017,Sales and Marketing,903
500015,10/07/2018,Quality Assurance,939
500015,10/05/2017,Customer Service,964
500015,10/07/2018,Advertising,39
500015,10/01/2017,Media Relations,869
500015,10/08/2017,Payroll,964
500015,10/03/2018,Legal Department,593
500015,10/12/2017,Accounting,303
500015,10/06/2018,Legal Department,165
500015,10/05/2018,Legal Department,542
500015,10/12/2017,Research and Development,1000
500015,10/06/2018,Human Resources,324
500015,10/01/2018,Research and Development,973
500015,10/07/2017,Accounting,513
500015,10/07/2018,Legal Department,421
500015,10/02/2017,Media Relations,578
500015,10/02/2018,Accounting,680
500015,10/09/2017,Payroll,312
500015,10/08/2017,Quality Assurance,240
500015,10/04/2018,Quality Assurance,944
500015,10/03/2018,Public Relations,923
500015,10/06/2017,Sales and Marketing,346
500015,10/01/2017,Asset Management,144
500015,10/04/2017,Customer Relations,436
500015,11/07/2017,Sales and Marketing,636
500015,11/02/2018,Research and Development,150
500015,11/08/2017,Customer Relations,621
